uuid,userid,roleclass,rolename,role_description,deletestatus,usertracker,createtime,payment_amount,payment_reference,payment_mode
RL-8287cc45de434868a5e5f807c0a8f60b,202603625430,Function,REPORTS-AREA,REPORTS-AREA,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-828f1831e751cc1ba2a8dadd880151f1,202603625430,Function,ACCTG-REPORTS,ACCTG-REPORTS,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-83d8e9dc3cdbfebb5b3eefa78a708cec,202603625430,Route,/purchaserequest,/purchaserequest,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-83f64c6b1eee5a9b1bf6715afc03c81d,202603625430,Function,HRIS-TEAM PLAYER,HRIS-TEAM PLAYER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8512c82111fbd2bef4cc2fb7e99bb38c,202603625430,Route,/ims,/ims,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-88ec4c00385b56a60445e6d90a7293c3,202603625430,Function,ACCTG-DISBURSEMENT,ACCTG-DISBURSEMENT,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-89164d9df610791a5595ebcfe70d64d6,202603625430,Route,/inventorydashboard,/inventorydashboard,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-897ae2b54d7894894729923fc97acc9d,202603625430,Route,/inventoryaveragecosting,/inventoryaveragecosting,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8994ee39642b8c8a62041b17129a5cb1,202603625430,Route,/renewalandplanupgrade,/renewalandplanupgrade,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8c44e69b32eceafbac0880a1d1797c40,202603625430,Route,/package,/package,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8c4714f20583bb4476fb408d7b27cde9,202603625430,Function,HRIS-TEAM LEADER,HRIS-TEAM LEADER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8c5162513d16edde9632ba0c267db27c,202603625430,Route,/pos,/pos,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8e7173f8e1e4ad7767d5c0bac8d91ef5,202603625430,Function,IMS-PURCHASER,IMS-PURCHASER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8e9ff5639817078040927b174f32606a,202603625430,Route,/accountsummary/:id,/accountsummary/:id,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8eeb43ed9e06f010438d73f81de9502d,202603625430,Route,/teammembers/:id,/teammembers/:id,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8f4be68701101b82b797f2aceabce74e,202603625430,Route,/employeelocation,/employeelocation,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-9044ff5ee08e2a92b02a91ecaa333cad,202603625430,Route,/memberprofile/:id,/memberprofile/:id,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-914a2d48149487c284c6b865cce80454,202603625430,Route,/projectassignment,/projectassignment,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-91cdcd9511d61ca0283c6a5319dbfa4a,202603625430,Route,/productcategory,/productcategory,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-93a3df92fd3bc0f3a39702601cc0e47d,202603625430,Function,IMS-PO-APPROVER,IMS-PO-APPROVER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-95c0d559d03899861d23af7c4b36c06b,202603625430,Function,IMS-PRODUCTION OFFICER,IMS-PRODUCTION OFFICER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-98ab82e02e0e60a8e3301a3c77760a41,202603625430,Route,/aboutus,/aboutus,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-9b934be36a1865c556ac0cbe70c9ba23,202603625430,Route,/fixedasset,/fixedasset,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-9d2ded8d6d93f78cd41081ff3816adf2,202603625430,Route,/reportprofitandloss,/reportprofitandloss,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-a037a1928a0465ac2b1fa96e92e9ec7b,202603625430,Route,/teamsprofile,/teamsprofile,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-a2b1a78984743b5beb11ed738aa23d91,202603625430,Route,/salestracker,/salestracker,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-a92d2fe3e636534520bc1b084316f6b0,202603625430,Route,/salesqueue,/salesqueue,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-aaf63d575135349b3ff932aa2224eb64,202603625430,Route,/employeeinfo,/employeeinfo,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-ac23be94e242206b0d5b5161163f8f8e,202603625430,Function,IMS-DRIVER,IMS-DRIVER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-ac76712644541c9bdbeaa94c80c06c6c,202603625430,Route,/tutorials,/tutorials,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-ad3fefeeb3421bdba52f05617776a45a,202603625430,Function,HRIS-PROJECT MANAGER,HRIS-PROJECT MANAGER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-af81ecb3eda5ca5b0af807b432c69d08,202603625430,Route,/accounting,/accounting,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-afbeb3e8d122e19baa1ae080845b43a9,202603625430,Function,ACCTG-DEPOSITS,ACCTG-DEPOSITS,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-b431886ad943e361e978a9508cc8db55,202603625430,Route,/priceselection,/priceselection,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-b5b647c9f9e349e11f2c8f4b4b132834,202603625430,Route,/approvecreds,/approvecreds,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-b6e67f061d1a,202603625430,Business Unit,BU-75b83d6ec640,EXINNOV MAIN STORE,Active,2.02604E+11,0000-00-00 00:00:00,0.00,,
RL-b6fb638ad994f8784cc8c18f2dffec55,202603625430,Route,/userrolesetup,/userrolesetup,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-b8bcdb0d7f8658de91f0dd62c953def0,202603625430,Route,/profitandlossdashboard,/profitandlossdashboard,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-bbf2d095ac58f0678deab7b6ec9c8eee,202603625430,Route,/dashboardtwo,/dashboardtwo,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-bd43e1b41f53,202603625430,Business Unit,BU-a3eb0cba2979,DABZ STORE 1,Active,2.02604E+11,0000-00-00 00:00:00,0.00,,
RL-bdec0103029e9ae92cc8689d51b3f888,202603625430,Route,/inventorysetup,/inventorysetup,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-bf088c7db4cfd2f6fc3d935b6c8ccf53,202603625430,Route,/employee_position,/employee_position,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-bfb15c8b78bdd5374db8623ea6e02ede,202603625430,Route,/pettycashtransaction,/pettycashtransaction,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-c0bb06e4545703bfaa6b5c5a93dd43a9,202603625430,Route,/areas,/areas,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-c143478b67a0c7a6d65a3e3c5f8371dc,202603625430,Route,/packageuse,/packageuse,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-c33d7fa3e993f98f11a04c69bf05bcb6,202603625430,Route,/department,/department,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-c4549677548e47a612067fb311c839fb,202603625430,Function,IMS-PR-FRANCHISE,IMS-PR-FRANCHISE,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-c4a22b9918435baa8626de6abbf19729,202603625430,Route,/deposits,/deposits,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-c8dd5baf6237305e1753e689c2be0b7e,202603625430,Route,/salesdashboard,/salesdashboard,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-c8ee6e1aeb4b5b274bfe529fc6848d55,202603625430,Route,/slcode,/slcode,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-cb920e5a59a4426ac9dd4f8f21a63f98,202603625430,Route,/role_class_function,/role_class_function,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-cc768f3ebaa058f6c8a5c56253324703,202603625430,Function,IMS-PRICING EDITOR,IMS-PRICING EDITOR,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-cd492a211884e483ca7a1cd82188fdeb,202603625430,Function,IMS-INVENTORY SETUP,IMS-INVENTORY SETUP,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-ce5f98b17eb84734c7b7b696ffc1e936,202603625430,Route,/teamassignment,/teamassignment,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-ce603f21cdb17a1c9c5ac7732ca483b4,202603625430,Function,SUPER ADMIN,SUPER ADMIN,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-d06e5b1c822915149c60a097f807c056,202603625430,Route,/referral,/referral,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-d453877d40363270b1123ddf58f08aa2,202603625430,Route,/reportpnlcomparative,/reportpnlcomparative,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-d4d76c7409359a145a8a6f57bc2a05dc,202603625430,Function,SALES-QUOTATION,SALES-QUOTATION,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-d51144d78dc8171f641e98e382c4ca0f,202603625430,Route,/noninventory,/noninventory,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-d552b6531d28,202603625430,Plan,UNLIMITED,UNLIMITED,Active,2.02604E+11,0000-00-00 00:00:00,2500.00,123456,GCash
RL-d56428666c0f826530ccc758049dbeea,202603625430,Route,/salestrackercomponent,/salestrackercomponent,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-d7d3f7ed20eaf3ca958c3fa6d3a938f8,202603625430,Route,/charttype,/charttype,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-d87b586d326dbdb7aba98a675ae7fdcb,202603625430,Route,/timelogs,/timelogs,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-dac77b073f7d2e7613a2b2d91b393668,202603625430,Route,/hris,/hris,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-dcfd7fbad4c5c777ae0519662fa32dfd,202603625430,Route,/settings,/settings,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-e04497b44b45aa8fba75f404f618d002,202603625430,Route,/zreading,/zreading,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-e17dcb0fb02fb3cb5aeb9b88452c5ee4,202603625430,Function,ACCTG-ASSETS,ACCTG-ASSETS,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-e19be9cf607e4ec79a20c232effeee40,202603625430,Function,SALES OFFICER,SALES OFFICER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-e2aaa5b9ace5f462963e8974d278394c,202603625430,Route,/dashboard,/dashboard,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-e690716f607f4306d0d43e7444e0fb25,202603625430,Route,/chartofaccountmap,/chartofaccountmap,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-e718bf62432f5746637218c1eb332d56,202603625430,Route,/salessummarytabular,/salessummarytabular,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-e9d19d17519b2d9befa6678a8eea251a,202603625430,Route,/inventorygraph,/inventorygraph,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-ea108b2e9287d562615fcf480707f268,202603625430,Route,/tasks,/tasks,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-ec6704cb8253afed3266f3fa86d9c06e,202603625430,Route,/corporation,/corporation,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-efa792c8bcb42543b9f976cd88ba696f,202603625430,Route,/teams,/teams,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-f2670c9c8da50c16734d2b1044228065,202603625430,Function,REPORTS-BRAND,REPORTS-BRAND,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-f2c49003b75346be6776863c62fdbd47,202603625430,Function,IMS-SPOILAGE OFFICER,IMS-SPOILAGE OFFICER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-f8ce75113af9a69d49cbdf6541d46bbd,202603625430,Function,IMS-ADMIN,IMS-ADMIN,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-fa3c7a558a9c19f3d43fc1e5df51eee2,202603625430,Route,/rawmats,/rawmats,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-fa8355c02e92cad92f2f8a7a732c81a0,202603625430,Route,/transfers,/transfers,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-fc133274251baf3b598de294fb579fa3,202603625430,Route,/timelogsummary,/timelogsummary,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-fdd827246fda8f04cc80cc64954e55d5,202603625430,Route,/autopricing,/autopricing,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-fe7447303acfd2d2662c9c72b6264e6a,202603625430,Route,/userroles,/userroles,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-fea39c164630b0786418906fab0ae99c,202603625430,Route,/build,/build,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-ffdd2fcd9b7a1b104a5d4930e64d6cd9,202603625430,Route,/projectsetup,/projectsetup,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL;-456456fdsfd5,202602461836,Route,/salesrecordssyncing," /salesrecordssyncing",Active,2.02604E+11,0000-00-00 00:00:00,0.00,,
